country,year,sex,age,suicides_no,population,suicides_100k_pop
Anguilla,1994,male,35-54 years,0,,
Anguilla,1994,male,5-14 years,0,,
Anguilla,1994,male,55-74 years,0,,
Anguilla,1994,male,75+ years,0,,
Anguilla,1995,female,15-24 years,0,,
Anguilla,1995,female,25-34 years,0,,
Anguilla,1995,female,35-54 years,0,,
Anguilla,1995,female,5-14 years,0,,
Anguilla,1995,female,55-74 years,0,,
Anguilla,1995,female,75+ years,0,,
Anguilla,1995,male,15-24 years,0,,
Anguilla,1995,male,25-34 years,0,,
Anguilla,1995,male,35-54 years,0,,
Anguilla,1995,male,5-14 years,0,,
Anguilla,1995,male,55-74 years,0,,
Anguilla,1995,male,75+ years,0,,
Anguilla,2000,female,15-24 years,0,,
Anguilla,2000,female,25-34 years,0,,
Anguilla,2000,female,35-54 years,0,,
Anguilla,2000,female,5-14 years,0,,
Anguilla,2000,female,55-74 years,0,,
Anguilla,2000,female,75+ years,0,,
Anguilla,2000,male,15-24 years,0,,
Anguilla,2000,male,25-34 years,0,,
Anguilla,2000,male,35-54 years,0,,
Anguilla,2000,male,5-14 years,0,,
Anguilla,2000,male,55-74 years,0,,
Anguilla,2000,male,75+ years,0,,
Anguilla,2001,female,15-24 years,0,,
Anguilla,2001,female,25-34 years,0,,
Anguilla,2001,female,35-54 years,0,,
Anguilla,2001,female,5-14 years,0,,
Anguilla,2001,female,55-74 years,0,,
Anguilla,2001,female,75+ years,0,,
Anguilla,2001,male,15-24 years,0,,
Anguilla,2001,male,25-34 years,0,,
Anguilla,2001,male,35-54 years,0,,
Anguilla,2001,male,5-14 years,0,,
Anguilla,2001,male,55-74 years,0,,
Anguilla,2001,male,75+ years,0,,
Anguilla,2002,female,15-24 years,0,,
Anguilla,2002,female,25-34 years,0,,
Anguilla,2002,female,35-54 years,0,,
Anguilla,2002,female,5-14 years,0,,
Anguilla,2002,female,55-74 years,0,,
Anguilla,2002,female,75+ years,0,,
Anguilla,2002,male,15-24 years,0,,
Anguilla,2002,male,25-34 years,0,,
Anguilla,2002,male,35-54 years,1,,
Anguilla,2002,male,5-14 years,0,,
Anguilla,2002,male,55-74 years,0,,
Anguilla,2002,male,75+ years,0,,
Anguilla,2003,female,15-24 years,0,,
Anguilla,2003,female,25-34 years,0,,
Anguilla,2003,female,35-54 years,0,,
Anguilla,2003,female,5-14 years,0,,
Anguilla,2003,female,55-74 years,0,,
Anguilla,2003,female,75+ years,0,,
Anguilla,2003,male,15-24 years,0,,
Anguilla,2003,male,25-34 years,0,,
Anguilla,2003,male,35-54 years,0,,
Anguilla,2003,male,5-14 years,0,,
Anguilla,2003,male,55-74 years,0,,
Anguilla,2003,male,75+ years,0,,
Anguilla,2004,female,15-24 years,0,,
Anguilla,2004,female,25-34 years,0,,
Anguilla,2004,female,35-54 years,0,,
Anguilla,2004,female,5-14 years,0,,
Anguilla,2004,female,55-74 years,0,,
Anguilla,2004,female,75+ years,0,,
Anguilla,2004,male,15-24 years,0,,
Anguilla,2004,male,25-34 years,0,,
Anguilla,2004,male,35-54 years,0,,
Anguilla,2004,male,5-14 years,0,,
Anguilla,2004,male,55-74 years,0,,
Anguilla,2004,male,75+ years,0,,
Anguilla,2005,female,15-24 years,0,,
Anguilla,2005,female,25-34 years,0,,
Anguilla,2005,female,35-54 years,0,,
Anguilla,2005,female,5-14 years,0,,
Anguilla,2005,female,55-74 years,0,,
Anguilla,2005,female,75+ years,0,,
Anguilla,2005,male,15-24 years,0,,
Anguilla,2005,male,25-34 years,0,,
Anguilla,2005,male,35-54 years,0,,
Anguilla,2005,male,5-14 years,0,,
Anguilla,2005,male,55-74 years,0,,
Anguilla,2005,male,75+ years,0,,
Anguilla,2006,female,15-24 years,0,,
Anguilla,2006,female,25-34 years,0,,
Anguilla,2006,female,35-54 years,0,,
Anguilla,2006,female,5-14 years,0,,
Anguilla,2006,female,55-74 years,0,,
Anguilla,2006,female,75+ years,0,,
Anguilla,2006,male,15-24 years,0,,
Anguilla,2006,male,25-34 years,0,,
Anguilla,2006,male,35-54 years,0,,
Anguilla,2006,male,5-14 years,0,,
Anguilla,2006,male,55-74 years,0,,
Anguilla,2006,male,75+ years,0,,
Anguilla,2008,female,15-24 years,0,,
Anguilla,2008,female,25-34 years,0,,
Anguilla,2008,female,35-54 years,0,,
Anguilla,2008,female,5-14 years,0,,
Anguilla,2008,female,55-74 years,0,,
Anguilla,2008,female,75+ years,0,,
Anguilla,2008,male,15-24 years,0,,
Anguilla,2008,male,25-34 years,0,,
Anguilla,2008,male,35-54 years,0,,
Anguilla,2008,male,5-14 years,0,,
Anguilla,2008,male,55-74 years,0,,
Anguilla,2008,male,75+ years,0,,
Anguilla,2009,female,15-24 years,0,,
Anguilla,2009,female,25-34 years,0,,
Anguilla,2009,female,35-54 years,0,,
Anguilla,2009,female,5-14 years,0,,
Anguilla,2009,female,55-74 years,0,,
Anguilla,2009,female,75+ years,0,,
Anguilla,2009,male,15-24 years,0,,
Anguilla,2009,male,25-34 years,0,,
Anguilla,2009,male,35-54 years,0,,
Anguilla,2009,male,5-14 years,0,,
Anguilla,2009,male,55-74 years,0,,
Anguilla,2009,male,75+ years,0,,
Anguilla,2010,female,15-24 years,0,,
Anguilla,2010,female,25-34 years,0,,
Anguilla,2010,female,35-54 years,0,,
Anguilla,2010,female,5-14 years,0,,
Anguilla,2010,female,55-74 years,0,,
Anguilla,2010,female,75+ years,0,,
Anguilla,2010,male,15-24 years,0,,
Anguilla,2010,male,25-34 years,0,,
Anguilla,2010,male,35-54 years,0,,
Anguilla,2010,male,5-14 years,0,,
Anguilla,2010,male,55-74 years,0,,
Anguilla,2010,male,75+ years,0,,
Anguilla,2011,female,15-24 years,0,,
Anguilla,2011,female,25-34 years,0,,
Anguilla,2011,female,35-54 years,0,,
Anguilla,2011,female,5-14 years,0,,
Anguilla,2011,female,55-74 years,0,,
Anguilla,2011,female,75+ years,0,,
Anguilla,2011,male,15-24 years,0,,
Anguilla,2011,male,25-34 years,0,,
Anguilla,2011,male,35-54 years,0,,
Anguilla,2011,male,5-14 years,0,,
Anguilla,2011,male,55-74 years,1,,
Anguilla,2011,male,75+ years,0,,
Anguilla,2012,female,15-24 years,0,,
Anguilla,2012,female,25-34 years,0,,
Anguilla,2012,female,35-54 years,0,,
Anguilla,2012,female,5-14 years,0,,
Anguilla,2012,female,55-74 years,0,,
Anguilla,2012,female,75+ years,0,,
Anguilla,2012,male,15-24 years,0,,
Anguilla,2012,male,25-34 years,0,,
Anguilla,2012,male,35-54 years,0,,
Anguilla,2012,male,5-14 years,0,,
Anguilla,2012,male,55-74 years,0,,
Anguilla,2012,male,75+ years,0,,
Anguilla,2013,female,15-24 years,0,,
Anguilla,2013,female,25-34 years,0,,
Anguilla,2013,female,35-54 years,0,,
Anguilla,2013,female,5-14 years,0,,
Anguilla,2013,female,55-74 years,0,,
Anguilla,2013,female,75+ years,0,,
Anguilla,2013,male,15-24 years,0,,
Anguilla,2013,male,25-34 years,0,,
Anguilla,2013,male,35-54 years,0,,
Anguilla,2013,male,5-14 years,0,,
Anguilla,2013,male,55-74 years,0,,
Anguilla,2013,male,75+ years,0,,
Anguilla,2014,female,15-24 years,0,,
Anguilla,2014,female,25-34 years,0,,
Anguilla,2014,female,35-54 years,0,,
Anguilla,2014,female,5-14 years,0,,
Anguilla,2014,female,55-74 years,0,,
Anguilla,2014,female,75+ years,0,,
Anguilla,2014,male,15-24 years,0,,
Anguilla,2014,male,25-34 years,0,,
Anguilla,2014,male,35-54 years,0,,
Anguilla,2014,male,5-14 years,0,,
Anguilla,2014,male,55-74 years,0,,
Anguilla,2014,male,75+ years,0,,
Anguilla,2015,female,15-24 years,0,,
Anguilla,2015,female,25-34 years,0,,
Anguilla,2015,female,35-54 years,0,,
Anguilla,2015,female,5-14 years,0,,
Anguilla,2015,female,55-74 years,0,,
Anguilla,2015,female,75+ years,0,,
Anguilla,2015,male,15-24 years,0,,
Anguilla,2015,male,25-34 years,0,,
Anguilla,2015,male,35-54 years,0,,
Anguilla,2015,male,5-14 years,0,,
Anguilla,2015,male,55-74 years,0,,
Anguilla,2015,male,75+ years,0,,
Anguilla,2016,female,15-24 years,0,,
Anguilla,2016,female,25-34 years,0,,
Anguilla,2016,female,35-54 years,0,,
Anguilla,2016,female,5-14 years,0,,
Anguilla,2016,female,55-74 years,0,,
Anguilla,2016,female,75+ years,0,,
Anguilla,2016,male,15-24 years,0,,
Anguilla,2016,male,25-34 years,0,,
Anguilla,2016,male,35-54 years,0,,
Anguilla,2016,male,5-14 years,0,,
Anguilla,2016,male,55-74 years,0,,
Anguilla,2016,male,75+ years,0,,
Armenia,2004,female,15-24 years,,304314,
Armenia,2004,female,25-34 years,,229251,
Armenia,2004,female,35-54 years,,477071,
Armenia,2004,female,5-14 years,,254288,
Armenia,2004,female,55-74 years,,248427,
Armenia,2004,female,75+ years,,67304,
Armenia,2004,male,15-24 years,,306856,
Armenia,2004,male,25-34 years,,216543,
Armenia,2004,male,35-54 years,,426732,
Armenia,2004,male,5-14 years,,272703,
Armenia,2004,male,55-74 years,,192366,
Armenia,2004,male,75+ years,,35685,
Armenia,2005,female,15-24 years,,307904,
Armenia,2005,female,25-34 years,,234644,
Armenia,2005,female,35-54 years,,478385,
Armenia,2005,female,5-14 years,,240080,
Armenia,2005,female,55-74 years,,248761,
Armenia,2005,female,75+ years,,71818,
Armenia,2005,male,15-24 years,,312247,
Armenia,2005,male,25-34 years,,223789,
Armenia,2005,male,35-54 years,,428628,
Armenia,2005,male,5-14 years,,259830,
Armenia,2005,male,55-74 years,,192058,
Armenia,2005,male,75+ years,,39134,
Australia,2005,female,15-24 years,,1365323,
Australia,2005,female,25-34 years,,1444503,
Australia,2005,female,35-54 years,,2902348,
Australia,2005,female,5-14 years,,1329981,
Australia,2005,female,55-74 years,,1744218,
Australia,2005,female,75+ years,,726893,
Australia,2005,male,15-24 years,,1420120,
Australia,2005,male,25-34 years,,1439379,
Australia,2005,male,35-54 years,,2864474,
Australia,2005,male,5-14 years,,1402451,
Australia,2005,male,55-74 years,,1722650,
Australia,2005,male,75+ years,,489314,
Azerbaijan,2005,female,15-24 years,,842750,
Azerbaijan,2005,female,25-34 years,,664450,
Azerbaijan,2005,female,35-54 years,,1211150,
Azerbaijan,2005,female,5-14 years,,722800,
Azerbaijan,2005,female,55-74 years,,444300,
Azerbaijan,2005,female,75+ years,,107000,
Azerbaijan,2005,male,15-24 years,,877650,
Azerbaijan,2005,male,25-34 years,,616650,
Azerbaijan,2005,male,35-54 years,,1104100,
Azerbaijan,2005,male,5-14 years,,782850,
Azerbaijan,2005,male,55-74 years,,365700,
Azerbaijan,2005,male,75+ years,,64200,
Bahamas,1986,female,15-24 years,,24900,
Bahamas,1986,female,25-34 years,,20800,
Bahamas,1986,female,35-54 years,,24000,
Bahamas,1986,female,5-14 years,,26100,
Bahamas,1986,female,55-74 years,,11800,
Bahamas,1986,female,75+ years,,2900,
Bahamas,1986,male,15-24 years,,25900,
Bahamas,1986,male,25-34 years,,20700,
Bahamas,1986,male,35-54 years,,22400,
Bahamas,1986,male,5-14 years,,27100,
Bahamas,1986,male,55-74 years,,10000,
Bahamas,1986,male,75+ years,,1600,
Belarus,2004,female,15-24 years,,793684,
Belarus,2004,female,25-34 years,,696487,
Belarus,2004,female,35-54 years,,1531907,
Belarus,2004,female,5-14 years,,542054,
Belarus,2004,female,55-74 years,,1055990,
Belarus,2004,female,75+ years,,389789,
Belarus,2004,male,15-24 years,,828898,
Belarus,2004,male,25-34 years,,698125,
Belarus,2004,male,35-54 years,,1420101,
Belarus,2004,male,5-14 years,,571645,
Belarus,2004,male,55-74 years,,706250,
Belarus,2004,male,75+ years,,140569,
Belarus,2005,female,15-24 years,,791961,
Belarus,2005,female,25-34 years,,700519,
Belarus,2005,female,35-54 years,,1524933,
Belarus,2005,female,5-14 years,,515011,
Belarus,2005,female,55-74 years,,1053247,
Belarus,2005,female,75+ years,,403913,
Belarus,2005,male,15-24 years,,825924,
Belarus,2005,male,25-34 years,,706010,
Belarus,2005,male,35-54 years,,1410341,
Belarus,2005,male,5-14 years,,543371,
Belarus,2005,male,55-74 years,,706216,
Belarus,2005,male,75+ years,,148129,
Belarus,2006,female,15-24 years,,782861,
Belarus,2006,female,25-34 years,,705036,
Belarus,2006,female,35-54 years,,1521714,
Belarus,2006,female,5-14 years,,493216,
Belarus,2006,female,55-74 years,,1052089,
Belarus,2006,female,75+ years,,415046,
Belarus,2006,male,15-24 years,,816266,
Belarus,2006,male,25-34 years,,714048,
Belarus,2006,male,35-54 years,,1404276,
Belarus,2006,male,5-14 years,,520558,
Belarus,2006,male,55-74 years,,706349,
Belarus,2006,male,75+ years,,153868,
Belarus,2012,female,15-24 years,,607675,
Belarus,2012,female,25-34 years,,732747,
Belarus,2012,female,35-54 years,,1455258,
Belarus,2012,female,5-14 years,,439462,
Belarus,2012,female,55-74 years,,1115781,
Belarus,2012,female,75+ years,,453056,
Belarus,2012,male,15-24 years,,642799,
Belarus,2012,male,25-34 years,,748497,
Belarus,2012,male,35-54 years,,1329430,
Belarus,2012,male,5-14 years,,464080,
Belarus,2012,male,55-74 years,,768600,
Belarus,2012,male,75+ years,,165701,
Belarus,2015,female,15-24 years,,522186,
Belarus,2015,female,25-34 years,,747134,
Belarus,2015,female,35-54 years,,1405736,
Belarus,2015,female,5-14 years,,464047,
Belarus,2015,female,55-74 years,,1172860,
Belarus,2015,female,75+ years,,481755,
Belarus,2015,male,15-24 years,,551841,
Belarus,2015,male,25-34 years,,773140,
Belarus,2015,male,35-54 years,,1295427,
Belarus,2015,male,5-14 years,,490687,
Belarus,2015,male,55-74 years,,831114,
Belarus,2015,male,75+ years,,174420,
Bermuda,1985,female,15-24 years,0,,
Bermuda,1985,female,25-34 years,0,,
Bermuda,1985,female,35-54 years,1,,
Bermuda,1985,female,5-14 years,0,,
Bermuda,1985,female,55-74 years,0,,
Bermuda,1985,female,75+ years,0,,
Bermuda,1985,male,15-24 years,0,,
Bermuda,1985,male,25-34 years,0,,
Bermuda,1985,male,35-54 years,1,,
Bermuda,1985,male,5-14 years,0,,
Bermuda,1985,male,55-74 years,0,,
Bermuda,1985,male,75+ years,0,,
Bermuda,1986,female,15-24 years,0,,
Bermuda,1986,female,25-34 years,1,,
Bermuda,1986,female,35-54 years,0,,
Bermuda,1986,female,5-14 years,0,,
Bermuda,1986,female,55-74 years,0,,
Bermuda,1986,female,75+ years,0,,
Bermuda,1986,male,15-24 years,1,,
Bermuda,1986,male,25-34 years,0,,
Bermuda,1986,male,35-54 years,1,,
Bermuda,1986,male,5-14 years,0,,
Bermuda,1986,male,55-74 years,0,,
Bermuda,1986,male,75+ years,0,,
Bermuda,1987,female,15-24 years,0,,
Bermuda,1987,female,25-34 years,1,,
Bermuda,1987,female,35-54 years,1,,
Bermuda,1987,female,5-14 years,0,,
Bermuda,1987,female,55-74 years,0,,
Bermuda,1987,female,75+ years,0,,
Bermuda,1987,male,15-24 years,0,,
Bermuda,1987,male,25-34 years,0,,
Bermuda,1987,male,35-54 years,0,,
Bermuda,1987,male,5-14 years,0,,
Bermuda,1987,male,55-74 years,2,,
Bermuda,1987,male,75+ years,0,,
Bermuda,1988,female,15-24 years,1,,
Bermuda,1988,female,25-34 years,0,,
Bermuda,1988,female,35-54 years,0,,
Bermuda,1988,female,5-14 years,0,,
Bermuda,1988,female,55-74 years,0,,
Bermuda,1988,female,75+ years,0,,
Bermuda,1988,male,15-24 years,0,,
Bermuda,1988,male,25-34 years,0,,
Bermuda,1988,male,35-54 years,1,,
Bermuda,1988,male,5-14 years,0,,
Bermuda,1988,male,55-74 years,1,,
Bermuda,1988,male,75+ years,0,,
Bermuda,1989,female,15-24 years,0,,
Bermuda,1989,female,25-34 years,1,,
Bermuda,1989,female,35-54 years,1,,
Bermuda,1989,female,5-14 years,0,,
Bermuda,1989,female,55-74 years,0,,
Bermuda,1989,female,75+ years,1,,
Bermuda,1989,male,15-24 years,0,,
Bermuda,1989,male,25-34 years,2,,
Bermuda,1989,male,35-54 years,2,,
Bermuda,1989,male,5-14 years,0,,
Bermuda,1989,male,55-74 years,1,,
Bermuda,1989,male,75+ years,1,,
Bermuda,1990,female,15-24 years,0,,
Bermuda,1990,female,25-34 years,0,,
Bermuda,1990,female,35-54 years,0,,
Bermuda,1990,female,5-14 years,0,,
Bermuda,1990,female,55-74 years,0,,
Bermuda,1990,female,75+ years,0,,
Bermuda,1990,male,15-24 years,0,,
Bermuda,1990,male,25-34 years,2,,
Bermuda,1990,male,35-54 years,0,,
Bermuda,1990,male,5-14 years,0,,
Bermuda,1990,male,55-74 years,0,,
Bermuda,1990,male,75+ years,0,,
Bermuda,1991,female,15-24 years,0,,
Bermuda,1991,female,25-34 years,0,,
Bermuda,1991,female,35-54 years,0,,
Bermuda,1991,female,5-14 years,0,,
Bermuda,1991,female,55-74 years,0,,
Bermuda,1991,female,75+ years,0,,
Bermuda,1991,male,15-24 years,0,,
Bermuda,1991,male,25-34 years,0,,
Bermuda,1991,male,35-54 years,2,,
Bermuda,1991,male,5-14 years,0,,
Bermuda,1991,male,55-74 years,0,,
Bermuda,1991,male,75+ years,1,,
Bermuda,1992,female,15-24 years,0,,
Bermuda,1992,female,25-34 years,0,,
Bermuda,1992,female,35-54 years,1,,
Bermuda,1992,female,5-14 years,0,,
Bermuda,1992,female,55-74 years,0,,
Bermuda,1992,female,75+ years,0,,
Bermuda,1992,male,15-24 years,0,,
Bermuda,1992,male,25-34 years,1,,
Bermuda,1992,male,35-54 years,3,,
Bermuda,1992,male,5-14 years,0,,
Bermuda,1992,male,55-74 years,0,,
Bermuda,1992,male,75+ years,0,,
Bermuda,1993,female,15-24 years,0,,
Bermuda,1993,female,25-34 years,0,,
Bermuda,1993,female,35-54 years,0,,
Bermuda,1993,female,5-14 years,0,,
Bermuda,1993,female,55-74 years,0,,
Bermuda,1993,female,75+ years,0,,
Bermuda,1993,male,15-24 years,0,,
Bermuda,1993,male,25-34 years,4,,
Bermuda,1993,male,35-54 years,1,,
Bermuda,1993,male,5-14 years,0,,
Bermuda,1993,male,55-74 years,4,,
Bermuda,1993,male,75+ years,0,,
Bermuda,1994,female,15-24 years,0,,
Bermuda,1994,female,25-34 years,0,,
Bermuda,1994,female,35-54 years,0,,
Bermuda,1994,female,5-14 years,0,,
Bermuda,1994,female,55-74 years,0,,
Bermuda,1994,female,75+ years,0,,
Bermuda,1994,male,15-24 years,0,,
Bermuda,1994,male,25-34 years,0,,
Bermuda,1994,male,35-54 years,2,,
Bermuda,1994,male,5-14 years,0,,
Bermuda,1994,male,55-74 years,0,,
